00211354167;2000-01-13
00220776486;2000-02-07
00221759697;2000-02-17
00242957867;2000-04-29
00261665259;2000-06-16
00270312573;2000-07-03
00270787553;2000-07-07
00282311748;2000-08-23
00292982163;2000-09-29
00310921451;2000-11-09
00311285941;2000-11-12
00312165916;2000-11-21
01212532596;2001-01-25
01230125349;2001-03-01
01231523115;2001-03-15
01240284245;2001-04-02
01241213976;2001-04-12
01290227177;2001-09-02
01311269373;2001-11-12
01312443626;2001-11-24
02212489727;2002-01-24
02221487895;2002-02-14
02222043326;2002-02-20
02231162658;2002-03-11
02232929986;2002-03-29
02240577779;2002-04-05
02250747126;2002-05-07
02251622967;2002-05-16
02261093739;2002-06-10
02270477218;2002-07-04
02281596937;2002-08-15
02291013127;2002-09-10
02291552451;2002-09-15
02310645331;2002-11-06
03210431396;2003-01-04
03231465826;2003-03-14
03280989919;2003-08-09
03290214182;2003-09-02
03300881117;2003-10-08
03312085688;2003-11-20
04211426394;2004-01-14
04221814992;2004-02-18
04222974576;2004-02-29
04231627391;2004-03-16
04242724616;2004-04-27
04243065244;2004-04-30
04252236426;2004-05-22
04252281785;2004-05-22
04260481362;2004-06-04
04262366546;2004-06-23
04262867573;2004-06-28
04271392833;2004-07-13
04271853981;2004-07-18
04273073262;2004-07-30
04291877174;2004-09-18
04291885113;2004-09-18
04303086769;2004-10-30
04312084622;2004-11-20
05221699475;2005-02-16
05231683569;2005-03-16
05242662838;2005-04-26
05270418281;2005-07-04
05301673634;2005-10-16
05310313637;2005-11-03
62010613458;1962-01-06
62030621918;1962-03-06
62032632286;1962-03-26
62040954516;1962-04-09
62041751235;1962-04-17
62053153197;1962-05-31
62060141479;1962-06-01
62061452848;1962-06-14
62062819857;1962-06-28
62073115588;1962-07-31
62081023844;1962-08-10
62090696927;1962-09-06
62102481781;1962-10-24
62110162979;1962-11-01
62110838258;1962-11-08
62121943567;1962-12-19
63021015943;1963-02-10
63052122331;1963-05-21
63060755383;1963-06-07
63080592724;1963-08-05
63111786625;1963-11-17
64030955756;1964-03-09
64040116491;1964-04-01
64041675836;1964-04-16
64042418317;1964-04-24
64050892132;1964-05-08
64051554765;1964-05-15
64070741667;1964-07-07
64073064329;1964-07-30
64081379819;1964-08-13
64090368558;1964-09-03
64090794384;1964-09-07
64092324673;1964-09-23
65012898832;1965-01-28
65060415261;1965-06-04
65092753293;1965-09-27
65102869423;1965-10-28
65121916586;1965-12-19
66010791684;1966-01-07
66022785622;1966-02-27
66030676695;1966-03-06
66040625669;1966-04-06
66041676725;1966-04-16
66062128216;1966-06-21
66073096829;1966-07-30
67020778119;1967-02-07
67042433869;1967-04-24
67090779551;1967-09-07
67110583887;1967-11-05
67122698393;1967-12-26
68031447283;1968-03-14
68041759976;1968-04-17
68042419798;1968-04-24
68050463561;1968-05-04
68101173812;1968-10-11
68111743946;1968-11-17
68112951698;1968-11-29
68122498846;1968-12-24
69010232591;1969-01-02
69010894326;1969-01-08
69013149423;1969-01-31
69021881726;1969-02-18
69041737616;1969-04-17
69060396946;1969-06-03
69061819246;1969-06-18
69061878731;1969-06-18
69080231313;1969-08-02
69093054446;1969-09-30
69121529919;1969-12-15
70011769382;1970-01-17
70020327122;1970-02-03
70040569894;1970-04-05
70040836282;1970-04-08
70041035925;1970-04-10
70052646686;1970-05-26
70071542923;1970-07-15
70072062282;1970-07-20
70101733563;1970-10-17
70122444857;1970-12-24
71010345153;1971-01-03
71012771239;1971-01-27
71012866726;1971-01-28
71050412398;1971-05-04
71052153985;1971-05-21
71053112233;1971-05-31
71062272827;1971-06-22
71062539243;1971-06-25
71062547695;1971-06-25
71070743728;1971-07-07
71072038156;1971-07-20
71100387517;1971-10-03
72031033292;1972-03-10
72041432962;1972-04-14
72070482459;1972-07-04
72100724283;1972-10-07
